"question_content";"question_content_image";"answer_content";"answer_content_image";"box_number";"last_reviewed"
"Qu'est-ce que la lumière ?";"";"La lumière est une forme d'énergie électromagnétique, plus précisément la partie du spectre électromagnétique visible par l'œil humain, comprise approximativement entre 380 et 780 nanomètres de longueur d'onde.";"";"1";"2026-06-14 17:35:00"
"Quel est le but principal des sources de lumière artificielles ?";"";"Le but principal des sources de lumière artificielles est de remplacer ou de compléter la lumière naturelle (solaire) lorsque celle-ci est insuffisante ou absente, afin de permettre la vision et les activités humaines.";"";"1";"2026-06-14 17:35:01"
"Qu'est-ce que la longueur d'onde ?";"";"La longueur d'onde est la distance entre deux points consécutifs d'une onde qui sont en phase, comme deux crêtes ou deux creux. Pour la lumière visible, elle détermine la couleur perçue.";"";"1";"2026-06-14 17:35:02"
"Quels sont les symboles de grandeur et d'unité de la longueur d'onde ?";"";"La longueur d'onde est représentée par la lettre grecque lambda ($\lambda$) et s'exprime en mètres $[m]$ ou plus souvent en nanomètres $[nm]$ pour la lumière visible.";"";"1";"2026-06-14 17:35:03"
"Quelle est la longueur d'onde et la couleur d'un rayon lumineux de fréquence $500·10^{12} [Hz]$ émis par une lampe à vapeur de sodium ?";"";"La longueur d'onde est calculée par $\lambda = \dfrac{c}{f}$, où c est la vitesse de la lumière. Donc $\lambda = \dfrac{3 \cdot 10^8}{500 \cdot 10^{12}} = 600 \cdot 10^{-9} = 600$ $[nm]$. Cette longueur d'onde correspond à la couleur jaune, caractéristique des lampes à vapeur de sodium.";"";"1";"2026-06-14 17:35:04"
"Que représente la température de couleur et en quelle unité est-elle exprimée ?";"";"La température de couleur représente l'apparence de la couleur émise par une source lumineuse, par référence à la couleur d'un corps noir chauffé à cette température. Elle s'exprime en kelvins $[K]$. Les températures basses (2700-3000K) donnent une lumière chaude (jaunâtre), les températures élevées (5000-6500K) une lumière froide (bleutée).";"";"1";"2026-06-14 17:35:05"
"Que représente l'indice de rendu des couleurs ?";"";"L'indice de rendu des couleurs (IRC ou Ra) mesure la capacité d'une source lumineuse à restituer fidèlement les couleurs des objets qu'elle éclaire, par rapport à une source de référence. Il s'exprime sur une échelle de 0 à 100, 100 étant la meilleure restitution possible.";"";"1";"2026-06-14 17:35:06"
"Quelle doit être la composition du spectre de la lampe pour que celle-ci reproduise le plus fidèlement les couleurs de l'objet ?";"";"Pour reproduire fidèlement les couleurs d'un objet, une lampe doit avoir un spectre lumineux continu et équilibré, couvrant toutes les longueurs d'onde visibles. Plus le spectre est complet (comme celui de la lumière du jour), meilleur sera le rendu des couleurs.";"";"1";"2026-06-14 17:35:07"
"Qu'est-ce que l'intensité lumineuse ?";"";"L'intensité lumineuse est la puissance lumineuse émise par une source ponctuelle dans une direction donnée, par unité d'angle solide. Elle caractérise la concentration du flux lumineux dans l'espace.";"";"1";"2026-06-14 17:35:08"
"Quels sont les symboles de grandeur et d'unité de l'intensité lumineuse ?";"";"L'intensité lumineuse est représentée par la lettre $I$ et s'exprime en candelas $[cd]$, qui est l'une des sept unités de base du Système International.";"";"1";"2026-06-14 17:35:09"
"Qu'est-ce que le flux lumineux ?";"";"Le flux lumineux est la quantité totale de lumière émise par une source dans toutes les directions de l'espace. Il mesure la puissance lumineuse totale perçue par l'œil humain.";"";"1";"2026-06-14 17:35:10"
"Quels sont les symboles de grandeur et d'unité du flux lumineux ?";"";"Le flux lumineux est représenté par la lettre grecque phi ($\Phi$) et s'exprime en lumens $[lm]$.";"";"1";"2026-06-14 17:35:11"
"Qu'est-ce qu'une courbe photométrique ?";"";"Une courbe photométrique (ou diagramme polaire) est une représentation graphique de la distribution spatiale de l'intensité lumineuse émise par une source dans différentes directions. Elle est essentielle pour la conception d'éclairage.";"";"1";"2026-06-14 17:35:12"
"Qu'est-ce que l'efficacité lumineuse ?";"";"L'efficacité lumineuse (ou rendement lumineux) est le rapport entre le flux lumineux émis par une source et la puissance électrique qu'elle consomme. Elle mesure donc l'efficacité de conversion de l'énergie électrique en lumière visible.";"";"1";"2026-06-14 17:35:13"
"Quels sont les symboles de grandeur et d'unité de l'efficacité lumineuse ?";"";"L'efficacité lumineuse est généralement représentée par la lettre grecque êta ($\eta$) et s'exprime en lumens par watt $[lm/W]$.";"";"1";"2026-06-14 17:35:14"
"Quelle est l'efficacité d'un tube fluorescent de $35 [W]$ produisant un flux lumineux de $2750 [lm]$ ?";"";"L'efficacité lumineuse se calcule par $\eta = \dfrac{\Phi}{P} = \dfrac{2750}{35} = 78,6$ $[lm/W]$.";"";"1";"2026-06-14 17:35:15"
"Quelles sont les lampes possédant la meilleure efficacité lumineuse ?";"";"Les sources lumineuses ayant les meilleures efficacités lumineuses sont les LED modernes et certaines lampes à décharge à haute pression comme les lampes à sodium haute pression, qui peuvent atteindre des efficacités de $100 [lm/W]$ à $150 [lm/W]$ ou plus.";"";"1";"2026-06-14 17:35:16"
"De quoi faut-il tenir compte, lors du calcul d'un éclairage, du rendement de l'éclairage ?";"";"Le rendement de l'éclairage tient compte du fait qu'une partie du flux lumineux émis par les lampes est absorbée par le luminaire ou n'atteint pas la zone à éclairer. Ce rendement est influencé par la conception du luminaire, la réflexion des surfaces, etc.";"";"1";"2026-06-14 17:35:17"
"Qu'est-ce que l'éclairement ?";"";"L'éclairement est le flux lumineux reçu par unité de surface. Il caractérise la quantité de lumière qui tombe sur une surface et détermine donc la visibilité des objets.";"";"1";"2026-06-14 17:35:18"
"Quels sont les symboles de grandeur et d'unité de l'éclairement ?";"";"L'éclairement est représenté par la lettre $E$ et s'exprime en lux $[lx]$, ce qui équivaut à des lumens par mètre carré $[lm/m^2]$.";"";"1";"2026-06-14 17:35:19"
"Comment s'appelle l'appareil permettant de mesurer l'éclairement ?";"";"L'appareil utilisé pour mesurer l'éclairement est le luxmètre. Il est constitué d'une cellule photoélectrique qui convertit la lumière reçue en un signal électrique proportionnel à l'éclairement.";"";"1";"2026-06-14 17:35:20"
"De quelle façon diminue l'intensité lumineuse en fonction de la distance ?";"";"Selon la loi de l'inverse du carré de la distance, l'intensité lumineuse (ou l'éclairement) diminue proportionnellement au carré de la distance à la source. Si la distance double, l'éclairement est divisé par quatre.";"";"1";"2026-06-14 17:35:21"
"Qu'est-ce que la luminance ?";"";"La luminance est l'intensité lumineuse émise ou réfléchie par unité de surface apparente dans une direction donnée. Elle caractérise la brillance perçue d'une surface telle qu'elle est vue par l'œil.";"";"1";"2026-06-14 17:35:22"
