"question_content";"question_content_image";"answer_content";"answer_content_image";"box_number";"last_reviewed"
"Qu'appelle-t-on résistivité ?";"";"La résistivité est une propriété intrinsèque du matériau qui caractérise sa capacité à s'opposer au passage du courant électrique, indépendamment de ses dimensions géométriques mais pour une longueur et section unitaires.";"";"1";"2026-06-14 19:35:00"
"Quels sont les symboles de grandeur et d'unité de la résistivité ?";"";"La résistivité se note $\rho$ (rho) et son unité est l'ohm-millimètre carré par mètre ($[\Omega] \cdot [mm^2]/[m]$) dans le système d'unités utilisé dans cet exercice, bien que $[\Omega] \cdot [m]$ soit l'unité SI.";"";"1";"2026-06-14 19:35:00"
"Un fil de cuivre a-t-il plus ou moins de résistance qu'un fil d'argent de même section et de même longueur ?";"";"L'argent est le métal le plus conducteur, sa résistivité est plus faible que celle du cuivre. Donc, à dimensions égales, un fil de cuivre aura une résistance plus élevée qu'un fil d'argent.";"";"1";"2026-06-14 19:35:00"
"De quels paramètres dépend la résistance d'un conducteur ?";"";"La résistance d'un conducteur est donnée par la formule $R = \rho \cdot \dfrac{l}{A}$ où $\rho$ est la résistivité du matériau, $l$ la longueur et $A$ la section.";"";"1";"2026-06-14 19:35:00"
"Que devient la résistance d'un fil si on multiplie sa longueur par 4 tout en gardant le même diamètre ?";"";"La résistance est proportionnelle à la longueur. Si on multiplie la longueur par 4, la résistance est également multipliée par 4, selon la formule $R = \rho \cdot \dfrac{l}{A}$.";"";"1";"2026-06-14 19:35:00"
"Que devient la résistance d'un fil si on divise son diamètre par 2 tout en gardant la même longueur ?";"";"La section $A = \pi \cdot \dfrac{d^2}{4}$. Si on divise le diamètre par 2, la section est divisée par 4. Comme la résistance est inversement proportionnelle à la section, elle est multipliée par 4.";"";"1";"2026-06-14 19:35:00"
"On dispose d'un fil conducteur de longueur $l$ et de diamètre $d$. On le coupe en trois brins égaux que l'on tord légèrement ensemble. Que vaut la résistance de ce câble en fonction de celle du fil de départ ?";"";"Chaque brin a une longueur $\dfrac{l}{3}$ et un diamètre $d$. Mis en parallèle, les trois résistances identiques donnent une résistance équivalente égale à $\dfrac{R}{3}$ où $R$ est la résistance initiale.";"";"1";"2026-06-14 19:35:00"
"Quelle est la résistance d'un fil de cuivre de 25 [m] de longueur et de 2,5 [mm^2] de section, sachant que la résistivité du cuivre est de 0,0175 $[\Omega] \cdot [mm^2]/[m]$ ?";"";"$R = \rho \cdot \dfrac{l}{A} = 0,0175 \cdot \dfrac{25}{2,5} = 0,0175 \cdot 10 = 0,175 \, [\Omega]$";"";"1";"2026-06-14 19:35:00"
"Calculer la résistance d'un fil d'argent de 0,2 [m] de long et de 0,3 [mm] de diamètre, sachant que la résistivité de l'argent est de 0,016 $[\Omega] \cdot [mm^2]/[m]$.";"";"La section $A = \pi \cdot \dfrac{d^2}{4} = \pi \cdot \dfrac{0,3^2}{4} = 0,07 \, [mm^2]$. Donc $R = \rho \cdot \dfrac{l}{A} = 0,016 \cdot \dfrac{0,2}{0,07} = 0,016 \cdot 2,8 = 0,045 \, [\Omega]$";"";"1";"2026-06-14 19:35:00"
"Les caractéristiques d'un fil sont: $l = 355$ [cm] et $d = 1$ [mm]. Lorsque ce fil est soumis à une tension de 12 [V], l'intensité du courant est de 5,3 [A]. De quelle matière ce fil est-il constitué ?";"";"$R = \dfrac{U}{I} = \dfrac{12}{5,3} = 2,26 \, [\Omega]$ et $A = \pi \cdot \dfrac{d^2}{4} = \pi \cdot \dfrac{1^2}{4} = 0,8 \, [mm^2]$. Donc $\rho = \dfrac{R \cdot A}{l} = \dfrac{2,26 \cdot 0,8}{3,55} = \dfrac{1,8}{3,55} = 0,028 \, [\Omega] \cdot [mm^2]/[m]$, ce qui correspond à l'aluminium.";"";"1";"2026-06-14 19:35:00"
"Un récepteur est parcouru par un courant de 6,6 [A] sous 230 [V]. Son corps de chauffe est en alliage chrome-nickel ($\rho = 1 \, [\Omega] \cdot [mm^2]/[m]$) et sa longueur est de 4,5 [m]. Calculer la section du fil.";"";"$R = \dfrac{U}{I} = \dfrac{230}{6,6} = 35 \, [\Omega]$. D'où $A = \rho \cdot \dfrac{l}{R} = 1 \cdot \dfrac{4,5}{35} = \dfrac{4,5}{35} = 0,3 \, [mm^2]$";"";"1";"2026-06-14 19:35:00"
"Quelle est la résistivité du cuivre en $\dfrac{[\Omega] \cdot [mm^2]}{[m]}$ ?";"";"Pour le cuivre avec $l = 78 \, [m]$, $d = 1,2 \, [mm]$, la section $A = \pi \cdot \dfrac{d^2}{4} = \pi \cdot \dfrac{1,2^2}{4} = 1,13 \, [mm^2]$. Pour calculer la résistivité: $\rho = \dfrac{R \cdot A}{l}$, et on utilise des valeurs connues pour trouver $\rho = 0,0175 \, [\Omega] \cdot [mm^2]/[m]$.";"";"1";"2026-06-14 19:35:00"
