"question_content";"question_content_image";"answer_content";"answer_content_image";"box_number";"last_reviewed"
"Dans une installation électrique. A quoi peut servir cet objet en polychloroprène";"images_questions/MATERIEL_cfc_pele/2021_02_08_18_09_45_1612804185_Q.jpg";"Interrupteur à flotteur. Convient pour les eaux usées ménagères. Convient pour les matières fécales. Le Néoprène, appelé d'abord Duprène4 est le nom de marque sous lequel la compagnie Du Pont de Nemours introduit dans l'industrie du caoutchouc en 1931 une famille de caoutchouc à base de polychloroprène. La mousse de néoprène est obtenue par introduction d'un gaz comme l'azote dans le matériau sous forme de bulles microscopiques. Garantissant une bonne résistance thermique, elle est très utilisée dans la fabrication des combinaisons pour les sports en eau vive comme le surf ou la plongée sous-marine, même si elle n'est pas imperméable à 100%.";"";"1";""
"Décrire le fonctionnement de cet appareil électrique ?";"images_questions/MATERIEL_cfc_pele/2021_02_08_16_26_40_1612798000_Q.jpg";"Télérupteur ou relais pas à pas. Changement d'état du contact (dans ce modèle, contact de fermeture) de manière électronique. Les relais pas à pas sont souvent mécaniques.";"";"1";""
"Décrire le fonctionnement de ce détecteur ?";"images_questions/MATERIEL_cfc_pele/2019_05_18_18_04_17_1558195457_Q.jpg";"Commutateur de fin de course. Contact 11-12 : De 0 à 4.8 [mm] fermé (NC, Normally Closed) entre 4.8 [mm] et 8 [mm] est ouvert (NO, Normally Open). Contact 13-14 (fermeture anticipée par rapport à 11-12) : De 0 à 3.5 [mm] OUVERT entre 3.5 [mm] et 8 [mm] est fermé.";"";"1";""
"A quoi sert ce <i>machin</i> ?";"images_questions/MATERIEL_cfc_pele/2019_05_18_17_24_02_1558193042_Q.jpg";"Commutateur de fin de course. Tête rotative. Manutention mécanique et de levage.";"";"1";""
"Quel est le type des moteurs électriques utilisés dans une imprimante 3D ?";"images_questions/MATERIEL_cfc_pele/2019_05_18_15_00_25_1558184425_Q.jpg";"Des moteurs pas à pas";"";"1";""
"Quel est le nom de ce moteur ?";"images_questions/MATERIEL_cfc_pele/2019_05_17_09_23_03_1558077783_Q.jpg";"Moteur pas à pas à réluctance variable. Il existe 3 techniques pour les moteurs pas à pas, (1)Le moteur à réluctance variable. (2)Le moteur à aimants permanents. (3)Le moteur hybride, qui est une combinaison des deux techniques précédentes.";"";"1";""
"Quel est ce moteur ? Quel est son fonctionnement ?";"images_questions/MATERIEL_cfc_pele/2019_05_15_23_45_09_1557956709_Q.jpg";"Moteur monophasé asynchrone à pôles bagués. Le champ tournant apparaît grâce aux ""bagues"" qui provoquent une modification du champ magnétique, comme cette modification est en opposition le rotor se met à tourner. Ce système est possible pour des petites puissances uniquement.";"";"1";""
"Quel est ce moteur ? Quel est son fonctionnement ?";"images_questions/MATERIEL_cfc_pele/2019_05_15_17_40_49_1557934849_Q.jpg";"Moteur monophasé à induction. Avec un 2ème enroulement Ea avec un condo en série CA, un 2ème champ magnétique déphasé de 90 degrés apparaît. La résultante de ces deux champs magnétiques est un champ magnétique tournant qui provoque la rotation du rotor.";"";"1";""
"Infrarouge Chauffage rayonnant à grande longueur d'onde. Expliquez.";"images_questions/MATERIEL_cfc_pele/2019_05_12_16_34_27_1557671667_Q.jpg";"Pour rassurer les utilisateurs. Une grande longueur d'onde correspond aux (IR-C qui pénètrent moins profondément la peau). Voir le graphique.";"images_reponses/MATERIEL_cfc_pele/2019_05_12_16_34_27_1557671667_R.jpg";"1";""
"Décrire cet appareil d'un point de vue technique ?";"images_questions/MATERIEL_cfc_pele/2019_05_12_16_24_45_1557671085_Q.jpg";"Radiateur de salles de bains pour un montage mural vertical, indicateur de commutation, protégé contre les projections d'eau IP24, avec interrupteur à tirette, 230[V] 1200[W] argenté, trois niveaux de commutation.";"";"1";""
