"question_content";"question_content_image";"answer_content";"answer_content_image";"box_number";"last_reviewed"
"Qu'est-ce qu'un système de courant alternatif triphasé ?";"";"Un système triphasé est constitué de trois courants alternatifs sinusoïdaux de même fréquence et de même amplitude, mais décalés dans le temps de 120° (ou $\frac{2\pi}{3}$ rad) les uns par rapport aux autres.";"";"1";"2026-06-14 16:50:00"
"Trois courants alternatifs triphasés ont une intensité efficace de 5 A chacun. Comment sont-ils représentés vectoriellement ?";"";"Dans un système triphasé équilibré, les trois courants sont représentés par trois vecteurs de même longueur (5 A dans ce cas) formant entre eux des angles de 120°. Ces vecteurs tournent à la même vitesse angulaire.";"";"1";"2026-06-14 16:50:01"
"Quelle est la différence entre la tension de phase et la tension réseau ?";"";"La tension de phase ($U_{ph}$) est la tension mesurée entre une phase et le neutre, tandis que la tension réseau ou tension composée ($U_{res}$ ou $U$) est la tension mesurée entre deux phases du système triphasé.";"";"1";"2026-06-14 16:50:02"
"La tension entre deux phases d'un réseau triphasé est de 400 V. Calculer la tension entre phase et neutre.";"";"Dans un système triphasé équilibré, la relation entre la tension réseau et la tension de phase est : $U_{ph} = \dfrac{U_{res}}{\sqrt{3}} = \dfrac{400}{\sqrt{3}} = 231$ V.";"";"1";"2026-06-14 16:50:03"
"Sur notre réseau, sous quelle tension sont alimentées les impédances d'un récepteur triphasé branché en étoile ?";"";"Dans un montage en étoile, chaque impédance est alimentée sous la tension de phase, qui est de 230 V sur le réseau européen standard (pour une tension réseau de 400 V).";"";"1";"2026-06-14 16:50:04"
"Un corps de chauffe de 5 kW comprend trois résistances raccordées en étoile. La tension est de 110/190 V. Calculer l'intensité du courant dans la ligne.";"";"Pour un récepteur triphasé équilibré en étoile, l'intensité du courant dans la ligne est $I = \dfrac{P}{3 \cdot U_{ph} \cdot \cos\varphi} = \dfrac{5000}{3 \cdot 110 \cdot 1} = 15,2$ A. (La tension de phase est 110 V, et $\cos\varphi = 1$ pour une résistance pure).";"";"1";"2026-06-14 16:50:05"
"Un moteur triphasé raccordé en étoile absorbe une intensité du courant de 10 A sous la tension du réseau. Son facteur de puissance est de 0,8. Calculer l'impédance de chaque enroulement.";"";"L'impédance de chaque enroulement est $Z = \dfrac{U_{ph}}{I} = \dfrac{230}{10} = 23$ Ω. La tension de phase est de 230 V puisque le moteur est branché en étoile sur un réseau standard.";"";"1";"2026-06-14 16:50:06"
"Un moteur triphasé porte les indications suivantes : P = 20 kW ; U = 400 V ; Y ; cos ϕ = 0,9 ; rendement 0,8. Calculer le courant circulant dans la ligne.";"";"La puissance électrique absorbée est $P_{abs} = \dfrac{P}{\eta} = \dfrac{20}{0,8} = 25$ kW. Le courant en ligne est donc $I = \dfrac{P_{abs}}{√3 \cdot U \cdot \cos\varphi} = \dfrac{25000}{√3 \cdot 400 \cdot 0,9} = 40,1$ A.";"";"1";"2026-06-14 16:50:07"
"Un corps de chauffe de 7500 W monté en étoile sans neutre est alimenté par le réseau. Calculer, si un fil de la ligne est coupé, l'intensité du courant dans chaque fil de la ligne et la puissance absorbée.";"";"Dans un montage en étoile sans neutre, si un fil de ligne est coupé, le circuit est ouvert et aucun courant ne peut circuler. La puissance absorbée est donc nulle (0 W) et l'intensité dans les fils restants est de 0 A.";"";"1";"2026-06-14 16:50:08"
"Dans quel cas de charge triphasée y a-t-il un courant dans le conducteur neutre ?";"";"Dans un système triphasé équilibré, la somme vectorielle des trois courants de phase est nulle, donc aucun courant ne circule dans le neutre. Ce n'est que dans le cas d'un système déséquilibré qu'un courant peut circuler dans le conducteur neutre.";"";"1";"2026-06-14 16:50:09"
"Comment calcule-t-on la puissance totale installée dans un réseau triphasé déséquilibré avec conducteur neutre ?";"";"Dans un réseau triphasé déséquilibré, la puissance totale est la somme des puissances individuelles de chaque phase : $P_{tot} = P_1 + P_2 + P_3$. Chaque puissance de phase se calcule avec $P_i = U_{ph} \cdot I_i \cdot \cos\varphi_i$.";"";"1";"2026-06-14 16:50:10"
"Un récepteur triphasé équilibré dont le facteur de puissance vaut 0,9 est raccordé en étoile avec neutre sur un réseau $230/400 [V]$. L'intensité du courant dans la ligne est de $15 [A]$. Calculer la puissance active de ce récepteur.";"";"La puissance active d'un récepteur triphasé équilibré est $P = 3 \cdot U_{ph} \cdot I_{ph} \cdot \cos\varphi = 3 \cdot 230 \cdot 15 \cdot 0,9 = 9315 [W] = 9,3 [kW]$.";"";"1";"2026-06-14 16:50:11"
"Un récepteur triphasé comprend trois résistances de $50 [Ω]$ en étoile. La tension d'alimentation est de $3×200 [V]$. Calculer la puissance totale.";"";"La puissance de chaque phase est $P_{ph} = \dfrac{U_{ph}^2}{R} = \dfrac{200^2}{50} = 800 [W]$. La puissance totale est donc $P_{tot} = 3 \cdot P_{ph} = 3 \cdot 800 = 2400 [W]$.";"";"1";"2026-06-14 16:50:12"
"Quel risque y a-t-il à déconnecter le conducteur neutre d'un système triphasé déséquilibré ?";"";"Dans un système triphasé déséquilibré, si le conducteur neutre est déconnecté, les tensions entre phase et neutre ne sont plus égales ni stabilisées. Certains récepteurs peuvent alors être soumis à des surtensions (risque de destruction) tandis que d'autres subissent des sous-tensions.";"";"1";"2026-06-14 16:50:13"
"Dans quel ordre doit-on déconnecter les conducteurs d'une ligne triphasée sous tension ?";"";"Pour des raisons de sécurité, on doit d'abord déconnecter les conducteurs de phase (qui portent la tension par rapport au neutre) et ensuite le conducteur neutre. Cela évite de se retrouver dans la situation dangereuse décrite à la question précédente.";"";"1";"2026-06-14 16:50:14"
"Dans quel ordre doit-on connecter les conducteurs d'une ligne triphasée sous tension ?";"";"Pour des raisons de sécurité, lors de la connexion d'une ligne triphasée sous tension, il faut d'abord connecter le conducteur neutre (qui établit la référence de potentiel) puis les conducteurs de phase. Cela permet d'éviter des déséquilibres de tension dangereux lors de l'opération.";"";"1";"2026-06-14 16:50:15"
"Sur notre réseau, sous quelle tension sont alimentées les impédances d'un récepteur triphasé branché en triangle ?";"";"Dans un montage en triangle, chaque impédance est directement raccordée entre deux phases du réseau. Elle est donc alimentée sous la tension réseau (ou tension composée), qui est de $400 [V]$ en Europe.";"";"1";"2026-06-14 16:50:20"
