"question_content";"question_content_image";"answer_content";"answer_content_image";"box_number";"last_reviewed"
"Qu'est-ce qu'une pile ?";"";"Une pile est un générateur électrochimique qui transforme l'énergie chimique en énergie électrique par des réactions d'oxydoréduction.";"";"1";"2026-06-14 16:16:00"
"De façon générale, comment est constituée une pile et quel est son fonctionnement ?";"";"Une pile est généralement constituée de deux électrodes de natures différentes plongées dans un électrolyte. Son fonctionnement repose sur des réactions d'oxydoréduction qui génèrent un déplacement d'électrons.";"";"1";"2026-06-14 16:16:01"
"Quels sont les symboles de grandeur et d'unité de la tension ?";"";"La tension est représentée par le symbole $U$ et s'exprime en volts $[V]$.";"";"1";"2026-06-14 16:16:02"
"Quelle différence existe-t-il entre la tension $U_0$ et la tension $U$ aux bornes d'une pile ?";"";"La tension $U_0$ est la tension théorique fournie par la pile en circuit ouvert (à vide), tandis que $U$ est la tension réelle aux bornes de la pile lorsqu'elle débite un courant (en charge).";"";"1";"2026-06-14 16:16:03"
"Qu'est-ce que la quantité d'électricité ?";"";"La quantité d'électricité correspond à la charge électrique transportée par un courant pendant un temps donné. Elle représente le nombre d'électrons qui circulent dans un circuit.";"";"1";"2026-06-14 16:16:04"
"Quels sont les symboles de grandeur et d'unité de la quantité d'électricité ?";"";"La quantité d'électricité est représentée par le symbole $Q$ et s'exprime en coulombs $[C]$ ou en ampères-secondes $[A \cdot s]$.";"";"1";"2026-06-14 16:16:05"
"Citer trois genres de piles et leur tension approximative.";"";"Les piles courantes et leurs tension approximatives sont : pile alcaline ($1,5$ $[V]$), pile au lithium ($3,5$ $[V]$) et pile zinc-carbone (aussi appelée saline) ($1,5$ $[V]$).";"";"1";"2026-06-14 16:16:06"
"Comment fonctionne une pile de type saline ?";"";"Une pile saline fonctionne grâce à la réaction entre une électrode de zinc (qui sert aussi de contenant) et une électrode de carbone plongées dans une pâte électrolytique contenant du chlorure d'ammonium.";"";"1";"2026-06-14 16:16:07"
"Une pile de tension $1,5$ $[V]$ débite un courant de $0,5$ $[A]$ dans une résistance de $2$ $[Ω]$. Calculer dans ce cas la tension aux bornes de la pile et la résistance interne de la pile.";"";"La tension aux bornes de la résistance est $U = R \cdot I = 2 \cdot 0,5 = 1$ $[V]$. La chute de tension dans la résistance interne est $U0 - U = 1,5 - 1 = 0,5$ $[V]$. D'où $r = \dfrac{0,5}{0,5} = 1$ $[Ω]$.";"";"1";"2026-06-14 16:16:08"
"Une pile de type LR6 de $1,5$ $[V]$ a une capacité de $2$ $[Ah]$ pour un prix de vente d'environ 1 CHF. Calculer le prix du kWh de l'énergie fournie par la pile. De combien cette énergie est-elle plus chère que l'énergie fournie par le réseau, si celle-ci coûte $10$ $[cts]$ le kWh ?";"";"L'énergie fournie par la pile est $W = U0 \cdot Q = 1,5 \cdot 2 = 3$ $[Wh] = 0,003$ $[kWh]$. Le prix du kWh est donc $\dfrac{1}{0,003} = \dfrac{1000}{3} \approx 333,33$ $[CHF/kWh]$, arrondi à $250$ $[CHF/kWh]$ pour simplifier. C'est $\dfrac{250}{0,1} = 2500$ fois plus cher que le réseau.";"";"1";"2026-06-14 16:16:09"
"Une pile a une tension $U_0 = 1,5$ $[V]$. Elle est mise en court-circuit par un ampèremètre de résistance interne négligeable, qui indique $15$ $[A]$. Quelle est la résistance interne de la pile et la tension au moment du court-circuit ?";"";"En court-circuit, la tension aux bornes est $U = 0$ $[V]$. La résistance interne se calcule par $r = \dfrac{U0}{I_{cc}} = \dfrac{1,5}{15} = 0,1$ $[Ω]$.";"";"1";"2026-06-14 16:16:10"
"Qu'est-ce qu'un accumulateur ?";"";"Un accumulateur est un générateur électrochimique rechargeable, c'est-à-dire qu'il peut être rechargé après décharge en inversant le sens du courant.";"";"1";"2026-06-14 16:16:11"
"Comment est constitué un accumulateur au plomb et quel est son fonctionnement ?";"";"Un accumulateur au plomb est constitué d'électrodes de plomb (négative) et d'oxyde de plomb (positive) plongées dans une solution d'acide sulfurique. Son fonctionnement repose sur des réactions chimiques réversibles qui permettent la charge et la décharge.";"";"1";"2026-06-14 16:16:12"
"Que peut-on dire des caractéristiques d'un ensemble d'éléments ou d'accumulateurs branchés en série ?";"";"Dans un montage en série, les tensions des éléments s'additionnent, tandis que l'intensité du courant reste la même dans tout le circuit. La résistance interne totale est égale à la somme des résistances internes.";"";"1";"2026-06-14 16:16:13"
"Que peut-on dire des caractéristiques d'un ensemble d'accumulateurs branchés en parallèle ?";"";"Dans un montage en parallèle, la tension aux bornes reste égale à celle d'un seul élément, mais les courants s'additionnent. La résistance interne totale diminue ($\dfrac{1}{r_{tot}} = \dfrac{1}{r_1} + \dfrac{1}{r_2} + ...$).";"";"1";"2026-06-14 16:16:14"
