question_content;question_content_image;answer_content;answer_content_image;box_number;last_reviewed
Discuter de ces sujets : Les personnes en formation expliquent le rôle et le fonctionnement des appareils de test pour le contrôle des installations coaxiales.;images_questions/EITPF_planformationPELE/2022_05_23_01_11_28_1653261088_Q.jpg;6.2.3b - Appareil de mesure du niveau de signal - Juger les valeurs de mesure;;1;2026-03-07 08:25:16
Discuter de ces sujets : Les personnes en formation expliquent et principe du réseau, la structure de distribution et le concept de mise à terre d'installation coaxiale.;images_questions/EITPF_planformationPELE/2022_05_23_01_09_34_1653260974_Q.jpg;"6.2.2b Construction du réseau, structure de répartition - Réseau de distribution de l'opérateur (WAN) - Point de transition (HÜP, SÜB, SÜS) Hausübergabepunkt (HÜP); Point de Raccordement d'Immeuble (PRI) Signalübergabestellen (SÜS); Points de Fourniture du Signal (PFS) - Réseau de distribution de bâtiment - Câble, distributeur, répartiteur, prises - Amplificateur Concept de mise à la terre - Liaison équipotentielle et protection contre la foudre";;1;2026-03-07 08:25:16
Discuter de ces sujets : Les personnes en formation expliquent les propriétés d'installations coaxiales.;images_questions/EITPF_planformationPELE/2022_05_23_00_42_29_1653259349_Q.jpg;6.2.1b Caractéristiques concernant: - Atténuation / amplification (en relation avec la fréquence) - Atténuation, déroulement de l’atténuation - Atténuation du flux de retour / adaptation - Déséquilibre ( Notion de déséquilibre dans un câble coaxial (BALUN) ) - Aptitude avancée et retardée (amplificateur);;1;2026-03-07 08:25:16
Discuter de ces sujets : Les personnes en formation expliquent les méthodes de mesure pour le câblage de communication et elles interprètent les résultats des mesures.;images_questions/EITPF_planformationPELE/2022_05_23_00_33_27_1653258807_Q.jpg;6.1.5b Procédés de mesure - Appareils de mesure et de contrôle - Catégorie et classe Résultats des mesures - Valeurs simples comme par ex.: pass / fail (PASS/ECHEC) Appareil de mesure avec système pass/fail;;1;2026-03-07 08:25:16
Discuter de ces sujets : Les personnes en formation expliquent les services principaux et complémentaires, proposés par les opérateurs, pour des installations télématiques simples.;images_questions/EITPF_planformationPELE/2022_05_23_00_08_56_1653257336_Q.jpg;"6.1.4b Services Carrier - Services: téléphonie; fax; internet, multimédia - Services complémentaires: services d'identification; services de déviation; SMS entre autres";;1;2026-03-07 08:25:16
Discuter de ces sujets : Les personnes en formation expliquent le système de base pour un accès au réseau d'Internet avec la technologie à bande large et elles expliquent la fonction des composantes passives de la partie d'installation pour le raccordement des abonnés.;images_questions/EITPF_planformationPELE/2022_05_23_00_04_25_1653257065_Q.jpg;6.1.3b Vue d'ensemble, technologie du système à large: - Réseau à double fils en Cu - Réseau à câbles coaxiales - Réseau à fibres optiques - Réseau d'alimentations d'énergie (PLC) Composants réseaux passifs - Câblage;;1;2026-03-07 08:25:16
Discuter de ces sujets : Les personnes en formation définissent la conception de systèmes télématiques en fonction des applications et elles expliquent les fonctions et les valeurs caractéristiques des parties de l'installation et des appareils terminaux.;images_questions/EITPF_planformationPELE/2022_05_22_23_56_22_1653256582_Q.jpg;6.1.2b Fonctions de système terminaux - Router (Fonction) - Appareils terminaux - Appareils complémentaires Valeurs caractéristiques - Appareils terminaux: appareils téléphoniques LES EXAMENS SONT TOUJOURS EN RELATION AVEC SWISSCOM;;1;2026-03-07 08:25:16
Discuter de ces sujets : Les personnes en formation distinguent les systèmes télématiques analogiques et digitales et leur topologie. Elles expliquent leur structure et fonctionnement.;images_questions/EITPF_planformationPELE/2022_05_22_23_49_08_1653256148_Q.jpg;6.1.1b Matériels d'installation - Systèmes d'embrochages - Fils - Câbles - Fibres optiques;;1;2026-03-07 08:25:16
Discuter de ces sujets : Les personnes en formation expliquent, en relation avec des exemples tirés de la pratique, l'utilisation des systèmes de bus.;images_questions/EITPF_planformationPELE/2022_05_22_23_47_00_1653256020_Q.jpg;5.6.3b Exemples d'installation - Zone d'habitation et petites entreprises - Entrepreneurs (écoles, hôpitaux, entreprises, etc.) - Installations de détection de dangers;;1;2026-03-07 08:25:16
Discuter de ces sujets : Les personnes en formation décrivent des éléments essentiels et les composants des systèmes de bus et elles expliquent leurs tâches et fonctions.;images_questions/EITPF_planformationPELE/2022_05_22_23_45_10_1653255910_Q.jpg;5.6.2b Système de bus - Réseau d'installation pour la transmission d'informations (Powerline) - Bus d'installation KNX: organisation, structure de bus, interfaces, média de transmission, configuration - Eléments et composants: senseurs, acteurs, coupleurs, amplificatrices, lignes;;1;2026-03-07 08:25:16
Discuter de ces sujets : Les personnes en formation expliquent les types et les principes des systèmes de bus répandus dans la gestion automatisée aux bâtiments.;images_questions/EITPF_planformationPELE/2022_05_22_23_37_45_1653255465_Q.jpg;5.6.1b Automation de bâtiment - Concept, structure et tâche du système de la technique de bâtiment (technique de commande de bâtiments) - Principe de fonction du système de bus;;1;2026-03-07 08:25:16
Discuter de ces sujets : Les personnes en formation expliquent le principe et le fonctionnement d’automates programmable (API) et elles expliquent des exemples d’applications simples.;images_questions/EITPF_planformationPELE/2022_05_22_23_26_40_1653254800_Q.jpg;5.5.4b Commande programmable (API) - Concept et fonction Programmation élémentaire: - plan de contacts (KOP) - plan de fonction (FUP) Exemples d'API pour la commande de consommateurs L'image montre KOP et FUP;images_reponses/EITPF_planformationPELE/2022_05_22_23_26_40_1653254800_R.png;1;2026-03-07 08:25:16
Discuter de ces sujets : Les personnes en formation distinguent les divers types de redresseur et elles expliquent leurs fonctionnements ainsi que la mise en application.;images_questions/EITPF_planformationPELE/2022_05_22_22_59_46_1653253186_Q.jpg;5.5.3b Redresseur de courant - Redresseur à courant continue et alternatif - Onduleur de fréquences - Exemples de couplage;;1;2026-03-07 08:25:16
Discuter de ces sujets : Les personnes en formation distinguent des dispositifs de commande électromécanique et électronique, elles expliquent leurs propriétés et leurs utilisations dans des circuits de commande sur la base d'exemples tiré de la pratique.;images_questions/EITPF_planformationPELE/2022_05_22_22_57_48_1653253068_Q.jpg;5.5.2b Dispositions de commande - Eléments électrotechniques: interrupteur, relais, contacteur - Relais semi-conducteur, contacteur semi-conducteur - Couplages de base de commande à contacts - Exemples de couplages;;1;2026-03-07 08:25:16
Discuter de ces sujets : Les personnes en formation expliquent la structure de systèmes de commande, elles nomment les divers principes de commande et elles établissent une vue d'ensemble sur les moyens à utiliser.;images_questions/EITPF_planformationPELE/2022_05_22_22_55_14_1653252914_Q.jpg;5.5.1b Systèmes de commande - Schéma bloc, concept (limite de commande et de réglage) - Sortes de commande: analogue, binaires, commandes numériques - Vue d'ensemble sur les senseurs et acteurs;;1;2026-03-07 08:25:16
