"question_content";"question_content_image";"answer_content";"answer_content_image";"box_number";"last_reviewed"
"Citer les trois catégories d'instrument de mesure.";"";"Les trois catégories d'instruments de mesure sont les instruments analogiques (à affichage continu par aiguille), les instruments numériques (à affichage digital) et les instruments mixtes combinant les deux technologies.";"";"1";"2026-06-14 16:30:00"
"Que peut-on dire de l'influence d'un instrument de mesure sur le signal mesuré ?";"";"Tous les instruments de mesure perturbent dans une certaine mesure le signal qu'ils mesurent. L'importance de cette perturbation dépend du type d'instrument et de sa résistance interne.";"";"1";"2026-06-14 16:30:01"
"Comment fonctionne un instrument à cadre mobile ?";"";"Un instrument à cadre mobile fonctionne selon le principe de l'attraction électromagnétique entre un aimant permanent fixe et un cadre de spires parcouru par le courant à mesurer, ce qui crée un couple proportionnel à ce courant.";"";"1";"2026-06-14 16:30:02"
"Un appareil à cadre mobile avec pont de Graetz est-il polarisé ?";"";"Un appareil à cadre mobile équipé d'un pont de Graetz (pont redresseur) n'est pas polarisé car le pont transforme le courant alternatif en courant continu pulsé, permettant ainsi la mesure des courants alternatifs.";"";"1";"2026-06-14 16:30:03"
"Comment fonctionne un instrument électrodynamique ?";"";"Un instrument électrodynamique fonctionne par l'interaction entre deux bobines : une bobine fixe et une bobine mobile, toutes deux parcourues par le courant à mesurer, créant ainsi un couple proportionnel au carré du courant.";"";"1";"2026-06-14 16:30:04"
"Quelle est la principale application de l'appareil électrodynamique ?";"";"La principale application de l'appareil électrodynamique est la mesure des puissances électriques (wattmètre), car il permet de prendre en compte à la fois le courant, la tension et le déphasage entre les deux.";"";"1";"2026-06-14 16:30:05"
"Qu'est-ce qu'un appareil numérique ?";"";"Un appareil numérique est un instrument qui convertit le signal analogique mesuré en une valeur numérique discrète qui est ensuite affichée sur un écran digital.";"";"1";"2026-06-14 16:30:06"
"Quel est l'ordre de grandeur de la résistance interne d'un ampèremètre ?";"";"Un ampèremètre idéal devrait avoir une résistance interne nulle. En pratique, la résistance interne d'un ampèremètre est de l'ordre de quelques ohms, suffisamment faible pour perturber le moins possible le circuit.";"";"1";"2026-06-14 16:30:07"
"À quoi sert un shunt ?";"";"Un shunt est une résistance de faible valeur placée en parallèle avec le galvanomètre d'un ampèremètre pour dériver une partie du courant et ainsi étendre sa plage de mesure.";"";"1";"2026-06-14 16:30:08"
"Comment fonctionne une pince ampèremétrique et comment la raccorde-t-on ?";"";"Une pince ampèremétrique mesure le courant en détectant le champ magnétique qu'il crée autour du conducteur. Elle s'ouvre pour entourer le conducteur sans avoir à interrompre le circuit, ce qui est son principal avantage.";"";"1";"2026-06-14 16:30:09"
"Quel est l'ordre de grandeur de la résistance interne d'un voltmètre ?";"";"Un voltmètre idéal devrait avoir une résistance interne infinie. En pratique, la résistance interne d'un voltmètre est de l'ordre de quelques mégohms, suffisamment élevée pour ne pas perturber significativement le circuit.";"";"1";"2026-06-14 16:30:10"
"À quoi sert une résistance additionnelle ?";"";"Une résistance additionnelle est connectée en série avec un voltmètre pour augmenter sa plage de mesure en réduisant la proportion de tension appliquée directement à l'instrument.";"";"1";"2026-06-14 16:30:11"
"À quoi sert un transformateur de tension ?";"";"Un transformateur de tension est utilisé pour mesurer des tensions alternatives élevées en les réduisant dans un rapport connu, permettant ainsi l'utilisation d'instruments de mesure standards.";"";"1";"2026-06-14 16:30:12"
"Quel réglage faut-il faire avant d'effectuer une mesure avec un ohmmètre ?";"";"Avant d'effectuer une mesure avec un ohmmètre, il faut procéder au calibrage du zéro en court-circuitant les pointes de touche et en ajustant le potentiomètre de zéro jusqu'à ce que l'aiguille indique zéro ohm (ou l'infini selon le type d'ohmmètre).";"";"1";"2026-06-14 16:30:13"
"Sur quel principe le fonctionnement du pont de Wheatstone est-il basé ?";"";"Le pont de Wheatstone est basé sur la comparaison entre une résistance inconnue et des résistances de référence. Lorsque le pont est équilibré (courant nul dans le galvanomètre), on peut déduire la valeur de la résistance inconnue.";"";"1";"2026-06-14 16:30:14"
"À quoi sert un contrôleur d'isolement ?";"";"Un contrôleur d'isolement (ou mégohmmètre) sert à mesurer la résistance d'isolement entre des parties conductrices normalement isolées les unes des autres ou par rapport à la terre, pour vérifier l'intégrité de l'isolation électrique.";"";"1";"2026-06-14 16:30:15"
"Comment fonctionne un compteur d'énergie électrique ?";"";"Un compteur d'énergie électrique fonctionne en intégrant la puissance instantanée dans le temps. Dans les compteurs électromécaniques, cela se fait via un disque tournant à une vitesse proportionnelle à la puissance, dont les tours sont comptés.";"";"1";"2026-06-14 16:30:16"
"Sur un voltmètre, vous disposez des calibres suivants: $50 [V], 100 [V], 300 [V]$ et $500 [V]$. Sur quel calibre réglez-vous votre instrument pour une mesure à $80 [V]$ ?";"";"Pour une mesure de 80 [V], il faut choisir le calibre 100 [V] car c'est le plus petit calibre supérieur à la valeur à mesurer. Utiliser le calibre 50 [V] risquerait d'endommager l'instrument, tandis que les calibres 300 [V] ou 500 [V] donneraient une précision moindre.";"";"1";"2026-06-14 16:30:17"
