"question_content";"question_content_image";"answer_content";"answer_content_image";"box_number";"last_reviewed"
"Voici le <i>superbe </i> corps d'une résistance avec des anneaux de couleurs. Quelle est la valeur de sa résistance ?";"images_questions/ELECTRONIQUE_generalites/2021_02_09_19_11_21_1612894281_Q.jpg";"Réponse en image.";"images_reponses/ELECTRONIQUE_generalites/2021_02_09_19_11_21_1612894281_R.jpg";"1";""
"A quel élément électronique correspond cette courbe ?";"images_questions/ELECTRONIQUE_generalites/2019_05_10_09_39_05_1557473945_Q.jpg";"un thyristor";"";"1";""
"A quel élément électronique correspond cette représentation graphique ?";"images_questions/ELECTRONIQUE_generalites/2019_05_10_09_37_30_1557473850_Q.jpg";"un thyristor";"";"1";""
"A quel élément électronique correspond cette courbe ?";"images_questions/ELECTRONIQUE_generalites/2019_05_10_09_35_45_1557473745_Q.jpg";"Phototransistor NPN (Base, Emetteur, Collecteur)";"";"1";""
"A quel élément électronique correspond cette représentation graphique ?";"images_questions/ELECTRONIQUE_generalites/2019_05_10_09_35_21_1557473721_Q.jpg";"Phototransistor NPN (Base, Emetteur, Collecteur)";"";"1";""
"A quel élément électronique correspond cette représentation graphique ?";"images_questions/ELECTRONIQUE_generalites/2019_05_10_09_34_57_1557473697_Q.jpg";"Phototransistor NPN (Base, Emetteur, Collecteur)";"";"1";""
"A quel élément électronique correspond cette représentation graphique ?";"images_questions/ELECTRONIQUE_generalites/2019_05_10_09_32_34_1557473554_Q.jpg";"Transistor PNP ou NPN (Base, Emetteur, Collecteur)";"";"1";""
"A quel élément électronique correspond cette représentation graphique ?";"images_questions/ELECTRONIQUE_generalites/2019_05_10_09_32_21_1557473541_Q.jpg";"Transistor PNP ou NPN (Base, Emetteur, Collecteur)";"";"1";""
"A quel élément électronique correspond cette représentation graphique ?";"images_questions/ELECTRONIQUE_generalites/2019_05_10_09_31_29_1557473489_Q.jpg";"Transistor PNP (Base, Emetteur, Collecteur)";"";"1";""
"A quel élément électronique correspond cette représentation graphique ?";"images_questions/ELECTRONIQUE_generalites/2019_05_10_09_31_03_1557473463_Q.jpg";"Transistor NPN (Base, Emetteur, Collecteur)";"";"1";""
"A quel élément électronique correspond cette représentation graphique ?";"images_questions/ELECTRONIQUE_generalites/2019_05_10_09_29_37_1557473377_Q.jpg";"Transistor NPN";"";"1";""
"A quel élément électronique correspond cette représentation graphique ?";"images_questions/ELECTRONIQUE_generalites/2019_05_10_09_29_16_1557473356_Q.jpg";"Transistor PNP";"";"1";""
"A quel élément électronique correspond cette courbe ?";"images_questions/ELECTRONIQUE_generalites/2019_05_10_09_28_23_1557473303_Q.jpg";"Transistor PNP";"";"1";""
"A quel élément électronique correspond cette courbe ?";"images_questions/ELECTRONIQUE_generalites/2019_05_10_09_27_55_1557473275_Q.jpg";"Transistor NPN";"";"1";""
"A quel élément électronique correspond cette courbe ?";"images_questions/ELECTRONIQUE_generalites/2019_05_10_09_21_05_1557472865_Q.jpg";"VDR (Voltage Dependent Resistor)";"";"1";""
"A quel élément électronique correspond cette courbe ?";"images_questions/ELECTRONIQUE_generalites/2019_05_10_09_19_28_1557472768_Q.jpg";"PTC (Positive Temperature Coefficient)";"";"1";""
"A quel élément électronique correspond cette courbe ?";"images_questions/ELECTRONIQUE_generalites/2019_05_10_09_17_36_1557472656_Q.jpg";"NTC (Negative Temperature Coefficient)";"";"1";""
"Donner quelques explications techniques au sujet de ce composant.";"images_questions/ELECTRONIQUE_generalites/2017_03_23_00_04_29_1490223869_Q.jpg";"NTC (Negative Temperature Coefficient) Plus la température augmente plus la résistance du composant diminue.";"images_reponses/ELECTRONIQUE_generalites/2017_03_23_00_04_29_1490223869_R.jpg";"1";""
"Décrire le composant électronique qui correspond à cette courbe caractéristique.";"images_questions/ELECTRONIQUE_generalites/2017_03_18_18_29_09_1489858149_Q.jpg";"C'est une diode Zener. Dans le sens conducteur, elle se comporte comme une diode ""normale"", dans l'autre sens elle maintient à ses bornes la tension de Zener (ici 5.6 [V])";"";"1";""
"Expliquer ce circuit. Comment se nomme cette diode ?";"images_questions/ELECTRONIQUE_generalites/2017_03_18_18_17_28_1489857448_Q.jpg";"Diode Zener. Les diodes Zener sont fréquemment utilisées pour réguler la tension dans un circuit. Lorsqu'on la connecte en inverse en parallèle avec une source de tension variable, une diode Zener devient conductrice lorsque la tension atteint la tension d'avalanche de la diode. Elle maintient ensuite la tension à cette valeur. C'est donc un régulateur élémentaire de tension.";"";"1";""
