"question_content";"question_content_image";"answer_content";"answer_content_image";"box_number";"last_reviewed"
"Quelles sont les trois formes d'énergie principalement utilisées dans les centrales électriques conventionnelles ?";"";"Les centrales électriques conventionnelles utilisent principalement l'énergie nucléaire (centrales nucléaires), l'énergie thermique issue de la combustion de combustibles fossiles (centrales thermiques), et l'énergie hydraulique (barrages hydroélectriques). Les options a et c présentent des formes d'énergie renouvelables ou alternatives qui ne sont généralement pas considérées comme conventionnelles dans la production d'électricité à grande échelle.";"";"1";"2026-06-14 16:00:00"
"À partir de quelles sources énergétiques convertit-on principalement l'énergie électrique en Suisse ?";"";"En Suisse, l'énergie électrique est convertie majoritairement à partir de l'énergie hydraulique (environ 55%) et de l'énergie nucléaire (environ 40%). Les énergies renouvelables comme le solaire et l'éolien représentent une part moins importante.";"";"1";"2026-06-14 16:00:01"
"Dans une installation hydro-électrique, quel est l'ordre correct des transformations d'énergie ?";"";"Dans une installation hydro-électrique, l'eau stockée en hauteur possède une énergie potentielle. En descendant, elle acquiert une énergie cinétique qui fait tourner les turbines (énergie mécanique), lesquelles entraînent les alternateurs qui produisent l'énergie électrique.";"";"1";"2026-06-14 16:00:02"
"Quels sont les symboles de grandeur et d'unité de l'énergie ?";"";"L'énergie est représentée par le symbole $W$ (pour Énergie) et son unité dans le Système International est le joule, symbolisé par $[J]$.";"";"1";"2026-06-14 16:00:03"
"Quelle est l'unité pratique de l'énergie électrique ?";"";"Bien que l'unité officielle de l'énergie soit le joule $[J]$, l'unité pratique utilisée pour mesurer l'énergie électrique est le kilowatt-heure $[kWh]$ (correspondant à l'énergie consommée par un appareil de 1 kilowatt pendant 1 heure).";"";"1";"2026-06-14 16:00:04"
"Quel est le prix approximatif d'un kilowatt-heure d'électricité en Suisse ?";"";"Le prix moyen du kilowatt-heure en Suisse se situe aux alentours de 0,20 CHF, bien que ce prix puisse varier selon les régions et les fournisseurs d'électricité.";"";"1";"2026-06-14 16:00:05"
"Comment s'appelle l'appareil qui mesure l'énergie électrique ?";"";"L'appareil qui mesure l'énergie électrique consommée est le compteur électrique. Le wattmètre mesure la puissance et l'ampèremètre mesure l'intensité du courant.";"";"1";"2026-06-14 16:00:06"
"Qu'indique la constante $c$ sur un compteur ?";"";"La constante $c$ d'un compteur indique le nombre d'impulsions pour 1 $[kWh]$ (dans les anciens compteurs électromécaniques cela représente le nombre de tours pour 1 $[kWh]$)";"";"1";"2026-06-14 16:00:07"
"Un radiateur électrique de 2000 $[W]$ fonctionne pendant 5 heures. Quelle est l'énergie consommée ?";"";"L'énergie consommée se calcule par la formule $W = P \cdot t$, où $P$ est la puissance et $t$ le temps. Donc $W = 2000 \cdot 5 = 10000 [Wh] = 10 [kWh]$.";"";"1";"2026-06-14 16:00:08"
"L'énergie absorbée par un appareil est de 7,5 $[kWh]$. Si l'appareil a fonctionné de 8 h à 13 h sous une tension de 250 $[V]$, quelle est l'intensité du courant ?";"";"L'appareil a fonctionné pendant $t = 5$ heures. La puissance est $P = \dfrac{W}{t} = \dfrac{7,5}{5} = 1,5 [kW] = 1500 [W]$. Sachant que $P = U \cdot I$, on a $I = \dfrac{P}{U} = \dfrac{1500}{250} = 6 [A]$.";"";"1";"2026-06-14 16:00:09"
"Qu'est-ce que la puissance électrique ?";"";"La puissance électrique est définie comme l'énergie consommée (ou fournie) par unité de temps. Elle s'exprime en watts $[W]$.";"";"1";"2026-06-14 16:00:10"
"Quels sont les symboles de grandeur et d'unité de la puissance ?";"";"La puissance est représentée par le symbole $P$ et son unité dans le Système International est le watt, symbolisé par $[W]$.";"";"1";"2026-06-14 16:00:11"
"On lit sur la plaquette signalétique d'un radiateur $P = 1500 [W]$. De quelle puissance s'agit-il ?";"";"La puissance indiquée sur les appareils électriques domestiques est généralement la puissance active, qui correspond à la puissance réellement consommée et transformée en chaleur, lumière, etc.";"";"1";"2026-06-14 16:00:12"
"Comment s'appelle l'appareil qui mesure la puissance ?";"";"L'appareil qui mesure la puissance électrique est le wattmètre. Le compteur électrique mesure l'énergie consommée et le voltmètre mesure la tension.";"";"1";"2026-06-14 16:00:13"
"La consommation d'un appareil est de 720 $[MJ]$ pendant 4 heures. Quelle est sa puissance ?";"";"Conversion en $[kWh]$ : $W = 720 [MJ] = 720 \cdot 10^6 \cdot \dfrac{1}{3600} = 200 [kWh]$. Puis $P = \dfrac{W}{t} = \dfrac{200}{4} = 50 [kW]$.";"";"1";"2026-06-14 16:00:14"
"Un ampèremètre placé sur le conducteur de phase alimentant un radiateur monophasé indique 5 $[A]$. Quelle est la puissance du récepteur si la tension est de 220 $[V]$ ?";"";"Pour un récepteur résistif comme un radiateur, on utilise la formule $P = U \cdot I$, où $U$ est la tension et $I$ l'intensité. Donc $P = 220 \cdot 5 = 1100 [W]$.";"";"1";"2026-06-14 16:00:15"
