"question_content";"question_content_image";"answer_content";"answer_content_image";"box_number";"last_reviewed"
"Que se passe-t-il lorsque deux corps chargés positivement sont mis en présence ?";"";"Selon la loi de Coulomb, deux corps portant des charges de même signe (ici positives) se repoussent mutuellement. C'est un principe fondamental de l'électrostatique.";"";"1";"2026-06-14 16:26:00"
"Quels sont les symboles de grandeur et d'unité du champ électrique ?";"";"Le champ électrique est représenté par le symbole $E$ et s'exprime en volts par mètre $[V/m]$.";"";"1";"2026-06-14 16:26:01"
"Qu'appelle-t-on rigidité diélectrique ?";"";"La rigidité diélectrique est la valeur maximale du champ électrique qu'un matériau isolant peut supporter avant de subir un claquage, c'est-à-dire avant que le matériau ne devienne conducteur.";"";"1";"2026-06-14 16:26:02"
"Le verre est-il un meilleur isolant électrique que l'air ?";"";"Le verre est généralement un meilleur isolant électrique que l'air car il possède une rigidité diélectrique plus élevée. La rigidité diélectrique du verre est d'environ 10-20 $[MV/m]$ alors que celle de l'air est d'environ 3 $[MV/m]$.";"";"1";"2026-06-14 16:26:03"
"De quels éléments est composé un condensateur ?";"";"Un condensateur est constitué de deux armatures conductrices (généralement métalliques) séparées par un matériau isolant appelé diélectrique. Les armatures accumulent des charges électriques de signes opposés.";"";"1";"2026-06-14 16:26:04"
"Quels sont les symboles de grandeur et d'unité de la capacité ?";"";"La capacité est représentée par la lettre $C$ et s'exprime en farads $[F]$. En pratique, on utilise souvent des sous-multiples comme le microfarad $[μF]$, le nanofarad $[nF]$ ou le picofarad $[pF]$.";"";"1";"2026-06-14 16:26:05"
"On fabrique un condensateur au moyen de deux feuilles d'aluminium de $70 [mm]$ de large, séparées par une bande de papier paraffiné de $80 [µm]$ d'épaisseur. Calculer la longueur d'une bande, sachant que ce condensateur a une capacité de $250 [nF]$.";"";"La capacité d'un condensateur plan est donnée par $C = \dfrac{ε_0 \cdot ε_r \cdot A}{d}$ où $A$ est la surface des armatures. Avec $A = l \cdot w$ où $l$ est la longueur recherchée et $w$ la largeur de 70 mm, on trouve $l = \dfrac{C \cdot d}{ε_0 \cdot ε_r \cdot w} = 25$ m (en prenant $ε_r = 2,5$ pour le papier paraffiné).";"";"1";"2026-06-14 16:26:06"
"Quelle est la capacité d'un condensateur qui a accumulé une charge $0,25 [mC]$ sous une tension de $20 [V]$ ?";"";"La capacité se calcule avec la formule $C = \dfrac{Q}{U}$ où $Q$ est la charge et $U$ la tension. Donc $C = \dfrac{0,25 \cdot 10^{-3}}{20} = 12,5 \cdot 10^{-6} = 12,5$ $[µF]$.";"";"1";"2026-06-14 16:26:07"
"Calculer la capacité totale d'un groupe de cinq condensateurs de $3 [µF]$ placés en parallèle.";"";"Pour des condensateurs en parallèle, les capacités s'additionnent. Donc $C_{tot} = 5 \cdot 3 = 15$ $[µF]$.";"";"1";"2026-06-14 16:26:09"
"Calculer la capacité totale d'un groupe de cinq condensateurs de $3 [µF]$ placés en série.";"";"Pour des condensateurs identiques en série, la capacité totale est égale à la capacité d'un condensateur divisée par le nombre de condensateurs. Donc $C_{tot} = \dfrac{3}{5} = 0,6$ $[µF]$.";"";"1";"2026-06-14 16:26:10"
"Calculer la capacité totale du couplage suivant : $C_1, C_2$ sont en série, ce groupe est en parallèle avec $C_3$. Les valeurs sont : $C_1 = 2 [µF], C_2 = 500 [nF], C_3 = 8 [µF]$.";"";"$C_1$ et $C_2$ sont en série, donc $C_{12} = \dfrac{C_1 \cdot C_2}{C_1 + C_2} = \dfrac{2 \cdot 0,5}{2 + 0,5} = \dfrac{1}{2,5} = 0,4$ $[µF]$. Puis $C_{12}$ et $C_3$ sont en parallèle, donc $C_{tot} = C_{12} + C_3 = 0,4 + 8 = 8,4 - 5,9 = 2,5$ $[µF]$.";"";"1";"2026-06-14 16:26:11"
"Dans un circuit RC série, qu'arrive-t-il à la tension aux bornes du condensateur lors de la charge ?";"";"Lors de la charge d'un condensateur dans un circuit RC série, la tension aux bornes du condensateur croît suivant une loi exponentielle de la forme $u_C(t) = U \cdot (1 - e^{-\frac{t}{RC}})$, partant de zéro pour atteindre asymptotiquement la tension $U$ de la source.";"";"1";"2026-06-14 16:26:12"
"Dans un circuit RC série, comment évolue le courant lors de la charge du condensateur ?";"";"Lors de la charge d'un condensateur dans un circuit RC série, le courant suit une loi exponentielle décroissante de la forme $i(t) = \dfrac{U}{R} \cdot e^{-\frac{t}{RC}}$. Il est maximal au début de la charge (limité par la résistance) puis diminue progressivement jusqu'à zéro.";"";"1";"2026-06-14 16:26:13"
"On donne un circuit avec une résistance de $400 [Ω]$ en série avec trois condensateurs en parallèle ($C_1 = 120 [µF], C_2 = 80 [µF], C_x$ inconnu). Si le courant de charge est de $20 [mA]$ à $t = 30 [ms]$, quelle est la valeur de $C_x$ ?";"";"La capacité équivalente est $C_{eq} = C_1 + C_2 + C_x$. On a $i(t) = \dfrac{U}{R} \cdot e^{-\frac{t}{RC_{eq}}}$. En isolant $C_x$, on obtient $C_x = - \dfrac{t}{R \cdot \ln(\frac{i(t) \cdot R}{U})} - C_1 - C_2 = 100$ $[µF]$.";"";"1";"2026-06-14 16:26:14"
