"question_content";"question_content_image";"answer_content";"answer_content_image";"box_number";"last_reviewed"
"Existe-t-il des aimants naturels ?";"";"Il existe effectivement des aimants naturels, dont le plus connu est la magnétite ($Fe_3O_4$), également appelée pierre d'aimant, qui est un minerai de fer naturellement magnétique.";"";"1";"2026-06-14 16:22:00"
"En quelle matière sont fabriqués les aimants artificiels ?";"";"Les aimants artificiels sont principalement fabriqués à partir d'alliages ferromagnétiques contenant du fer, du nickel, du cobalt ou des terres rares comme le néodyme.";"";"1";"2026-06-14 16:22:01"
"Comment est construite une boussole et comment fonctionne-t-elle ?";"";"Une boussole est constituée d'une aiguille aimantée montée sur un pivot qui lui permet de tourner librement. L'aiguille s'oriente selon les lignes du champ magnétique terrestre, pointant approximativement vers le nord géographique.";"";"1";"2026-06-14 16:22:02"
"Peut-on isoler un pôle d'aimant ?";"";"Il est impossible d'isoler un pôle magnétique. Même si on coupe un aimant en plusieurs morceaux, chaque morceau conservera deux pôles (nord et sud). C'est une propriété fondamentale du magnétisme. Les recherches sur les monopôles magnétiques ont commencé il y a plus d'un siècle, mais jusqu'à présent, aucun monopôle magnétique n'a été observé. Les physiciens ont cherché à créer des monopôles magnétiques artificiels en utilisant des aimants exotiques appelés monopôles magnétiques artificiels, ou magnétons.";"";"1";"2026-06-14 16:22:03"
"Comment peut-on visualiser le spectre magnétique d'un aimant ?";"";"On peut visualiser le spectre magnétique (les lignes de champ) d'un aimant en disposant de la limaille de fer autour de celui-ci. Les petits morceaux de fer s'alignent selon les lignes de champ magnétique, rendant visible leur configuration.";"";"1";"2026-06-14 16:22:04"
"Comment sont orientées les lignes de champ d'un aimant ?";"";"Par convention, les lignes de champ magnétique sont orientées du pôle nord vers le pôle sud à l'extérieur de l'aimant, et du pôle sud vers le pôle nord à l'intérieur de l'aimant.";"";"1";"2026-06-14 16:22:05"
"Citer trois applications des aimants permanents.";"";"Les aimants permanents sont utilisés dans de nombreuses applications, notamment dans les haut-parleurs (pour convertir le signal électrique en mouvement mécanique), les moteurs électriques (pour créer un champ magnétique stable) et les disques durs (pour stocker des données).";"";"1";"2026-06-14 16:22:06"
"Que se passe-t-il lorsqu'un barreau de fer est placé dans un champ magnétique ?";"";"Lorsqu'un barreau de fer est placé dans un champ magnétique, il devient lui-même temporairement aimanté par induction magnétique. Les domaines magnétiques du fer s'alignent avec le champ externe, ce qui fait du fer un aimant temporaire qui est attiré par la source du champ.";"";"1";"2026-06-14 16:22:07"
"Qu'est-ce qu'un matériau non magnétique ?";"";"Un matériau non magnétique (ou plus précisément, non ferromagnétique) est un matériau qui n'est pas fortement attiré par un aimant et qui ne peut pas être aimanté de façon permanente. Il peut être diamagnétique (légèrement repoussé) ou paramagnétique (légèrement attiré).";"";"1";"2026-06-14 16:22:08"
"Quels sont les principaux matériaux ferromagnétiques ?";"";"Les principaux matériaux ferromagnétiques sont le fer, le nickel, le cobalt et leurs alliages. Ces matériaux peuvent être fortement aimantés et conserver une aimantation permanente.";"";"1";"2026-06-14 16:22:09"
"Comment peut-on diminuer ou supprimer l'aimantation d'un matériau ?";"";"L'aimantation d'un matériau peut être réduite ou supprimée soit en le chauffant au-dessus de sa température de Curie (température à laquelle un matériau perd ses propriétés ferromagnétiques), soit en le soumettant à un champ magnétique alternatif d'amplitude décroissante (démagnétisation).";"";"1";"2026-06-14 16:22:10"
"Qu'appelle-t-on flux magnétique ?";"";"Le flux magnétique représente la quantité de lignes de champ magnétique traversant une surface donnée. Il est proportionnel à l'intensité du champ et à la surface traversée perpendiculairement.";"";"1";"2026-06-14 16:22:11"
"Quels sont les symboles de grandeur et d'unité du flux magnétique ?";"";"Le flux magnétique est représenté par la lettre grecque $\Phi$ (phi) et s'exprime en webers $[Wb]$.";"";"1";"2026-06-14 16:22:12"
"Qu'appelle-t-on induction magnétique ?";"";"L'induction magnétique, également appelée densité de flux magnétique, correspond à la densité de flux magnétique en un point donné de l'espace. Elle caractérise l'intensité et la direction du champ magnétique en ce point.";"";"1";"2026-06-14 16:22:13"
"Quels sont les symboles de grandeur et d'unité de l'induction magnétique ?";"";"L'induction magnétique est représentée par la lettre $B$ et s'exprime en teslas $[T]$. Un tesla équivaut à un weber par mètre carré $[Wb/m^2]$.";"";"1";"2026-06-14 16:22:14"
"Citer trois applications des électroaimants.";"";"Les électroaimants sont utilisés dans de nombreuses applications, notamment les relais (pour commuter des circuits électriques), les électrovannes (pour contrôler des fluides) et certains types de moteurs électriques.";"";"1";"2026-06-14 16:22:15"
"Qu'appelle-t-on l'intensité du champ magnétique ?";"";"L'intensité du champ magnétique est une grandeur vectorielle qui caractérise l'excitation magnétique en un point de l'espace, indépendamment du milieu dans lequel elle se propage. Elle est liée à l'induction magnétique par la perméabilité du milieu.";"";"1";"2026-06-14 16:22:16"
"Quels sont les symboles de grandeur et d'unité de l'intensité du champ magnétique ?";"";"L'intensité du champ magnétique est représentée par la lettre $H$ et s'exprime en ampères par mètre $[A/m]$.";"";"1";"2026-06-14 16:22:17"
"Quel est le sens du champ magnétique à l'extérieur du noyau d'une bobine alimentée par une tension continue ?";"";"Selon la règle de la main droite, lorsque les doigts suivent le sens du courant dans les spires de la bobine, le pouce indique le sens du champ magnétique. Dans ce cas, avec le courant allant du côté négatif vers le côté positif, le champ magnétique dans le noyau est orienté de droite à gauche.";"";"1";"2026-06-14 16:22:18"
"Quel est l'avantage d'avoir une bobine avec noyau ferromagnétique ?";"";"Un noyau ferromagnétique concentre les lignes de champ magnétique et augmente considérablement l'intensité du champ magnétique par la bobine, grâce à sa perméabilité magnétique élevée.";"";"1";"2026-06-14 16:22:19"
