"question_content";"question_content_image";"answer_content";"answer_content_image";"box_number";"last_reviewed"
"Qu'est-ce qu'un courant électrique ?";"";"Le courant électrique est défini comme un déplacement ordonné de charges électriques (généralement des électrons) dans un conducteur.";"";"1";"2026-06-14 19:30:00"
"Quels sont les symboles de grandeur et d'unité du courant électrique ?";"";"Le symbole $I$ (intensité) représente la grandeur du courant électrique et l'unité est l'ampère, symbolisé par $[A]$.";"";"1";"2026-06-14 19:30:00"
"Depuis 2019, quelle est l'expérience qui permet de valider l'unité d'intensité du courant ?";"";"Cette expérience s'inscrit dans le cadre du nouveau Système International d'unités (SI) adopté en 2019, où les unités sont définies par des constantes fondamentales de la nature. Le générateur quantique de courant utilise des effets quantiques pour produire un courant électrique avec une très grande précision. Cette méthode permet de réaliser la définition de l'ampère conformément au SI, qui relie l'ampère à la charge élémentaire (e) et à la fréquence de l'horloge atomique au césium.";"";"1";"2026-06-14 19:30:00"
"Pour quelle intensité du courant maximale les prises électriques domestiques sont-elles souvent prévues ?";"";"Les prises électriques domestiques standard sont généralement prévues pour une intensité maximale de 16 ampères.";"";"1";"2026-06-14 19:30:00"
"Comment doit-on connecter un ampèremètre dans un circuit électrique ?";"";"Un ampèremètre doit être connecté en série avec le récepteur pour que tout le courant le traverse et puisse être mesuré.";"";"1";"2026-06-14 19:30:00"
"Qu'est-ce que la tension électrique ?";"";"La tension électrique représente le travail par unité de charge électrique, ou la différence de potentiel électrique entre deux points.";"";"1";"2026-06-14 19:30:00"
"Quels sont les symboles de grandeur et d'unité de la tension électrique ?";"";"Le symbole $U$ représente la grandeur de la tension électrique et l'unité est le volt, symbolisé par $V$.";"";"1";"2026-06-14 19:30:00"
"Que vaut approximativement la tension d'une pile carrée pour lampe de poche ?";"";"Une pile carrée pour lampe de poche a généralement une tension d'environ 9 volts.";"";"1";"2026-06-14 19:30:00"
"Que vaut approximativement la tension d'une batterie d'automobile classique (à moteur thermique, non hybride, bref une vieille voiture quoi !!!) ?";"";"Une batterie d'automobile standard a généralement une tension nominale de 12 volts.";"";"1";"2026-06-14 19:30:00"
"Comment doit-on connecter un voltmètre dans un circuit électrique ?";"";"Un voltmètre doit être connecté en parallèle avec le récepteur pour mesurer la différence de potentiel à ses bornes.";"";"1";"2026-06-14 19:30:00"
"Qu'est-ce que la résistance électrique ?";"";"La résistance électrique est la propriété d'un conducteur à s'opposer au passage du courant électrique.";"";"1";"2026-06-14 19:30:00"
"Quels sont les symboles de grandeur et d'unité de la résistance ?";"";"Le symbole $R$ représente la grandeur de la résistance électrique et l'unité est l'ohm, symbolisé par $[\Omega]$.";"";"1";"2026-06-14 19:30:00"
"Comment est définie l'unité de résistance ?";"";"L'ohm est défini comme la résistance d'un conducteur qui, traversé par un courant de 1 ampère, présente à ses bornes une tension de 1 volt. Soit $1 [\Omega] = \frac{1 [V]}{1 [A]}$.";"";"1";"2026-06-14 19:30:00"
"Avec quel appareil mesure-t-on la résistance ?";"";"La résistance se mesure avec un ohmmètre, qui peut souvent être intégré dans un multimètre.";"";"1";"2026-06-14 19:30:00"
"Quelle est l'intensité du courant qui circule dans un récepteur de 20 $[\Omega]$, alimenté sous 240 [V] ?";"";"D'après la loi d'Ohm: $I = \frac{U}{R} = \frac{240 [V]}{20 [\Omega]} = 12 [A]$";"";"1";"2026-06-14 19:30:00"
"Un récepteur est marqué: $R = 160 [\Omega]$ et $I = 1,5 [A]$. Sous quelle tension doit-il être alimenté ?";"";"D'après la loi d'Ohm: $U = R \cdot I = 160 [\Omega] \cdot 1,5 [A] = 240 [V]$";"";"1";"2026-06-14 19:30:00"
"Calculer la valeur nominale du fusible permettant de protéger un récepteur de 10 $[\Omega]$ alimenté sous 200 [V].";"";"Le courant est $I = \frac{U}{R} = \frac{200 [V]}{10 [\Omega]} = 20 [A]$. Le fusible doit avoir une valeur nominale identique ou légèrement supérieure au courant calculé.";"";"1";"2026-06-14 19:30:00"
"Un récepteur est marqué: $R = 25 [\Omega]$ et $I = 4 [A]$. Peut-on le raccorder sur le réseau domestique standard en Europe ?";"";"La tension nécessaire est $U = R \cdot I = 25 [\Omega] \cdot 4 [A] = 100 [V]$. Cette tension est inférieure à celle du réseau domestique européen (230 [V]), donc ce récepteur est probablement conçu pour un autre réseau (comme celui des États-Unis à 110 [V]).";"";"1";"2026-06-14 19:30:00"
"Quelle est la relation graphique entre la tension $U$ et le courant $I$ pour une résistance constante ?";"";"Pour une résistance constante, la loi d'Ohm indique que $U = R \cdot I$, ce qui correspond à une relation linéaire où la pente est égale à la valeur de la résistance.";"";"1";"2026-06-14 19:30:00"
"Quelle sera la tension aux bornes d'une résistance de 40 $[\Omega]$ traversée par un courant de 5 [A] ?";"";"D'après la loi d'Ohm: $U = R \cdot I = 40 [\Omega] \cdot 5 [A] = 200 [V]$";"";"1";"2026-06-14 19:30:00"
