"question_content";"question_content_image";"answer_content";"answer_content_image";"box_number";"last_reviewed"
"Qu'est-ce que l'électricité ?";"";"L'électricité est une forme d'énergie qui résulte du mouvement des charges électriques, principalement les électrons, dans un conducteur.";"";"1";"2026-06-08 17:13:19"
"De quoi se compose un atome ?";"";"Un atome est composé d'un noyau contenant des neutrons et des protons, autour duquel gravitent des électrons.";"";"1";"2026-06-08 17:13:19"
"Qu'appelle-t-on un ion ?";"";"Un ion est un atome qui a perdu ou gagné un ou plusieurs électrons, le rendant électriquement chargé (positivement ou négativement).";"";"1";"2026-06-08 17:13:19"
"Depuis quand transforme-t-on et utilise-t-on industriellement l'énergie électrique ?";"";"L'utilisation industrielle de l'énergie électrique a commencé à la fin du 19ème siècle, notamment avec les travaux de Thomas Edison et Nikola Tesla.";"";"1";"2026-06-08 17:13:19"
"Quels sont les avantages de l'énergie électrique ?";"";"Les principaux avantages de l'énergie électrique sont sa facilité de transport sur de longues distances, sa transformation aisée en d'autres formes d'énergie et sa simplicité d'utilisation.";"";"1";"2026-06-08 17:13:19"
"Un atome de cuivre possède 29 protons et 35 neutrons. Combien possède-t-il d'électrons ?";"";"Dans un atome neutre, le nombre d'électrons est égal au nombre de protons. Donc l'atome de cuivre possède 29 électrons.";"";"1";"2026-06-08 17:13:19"
"Quels sont les électrons susceptibles de passer d'un atome à l'autre ?";"";"Les électrons de la couche externe, appelés électrons de valence, sont les plus éloignés du noyau et donc les plus susceptibles de passer d'un atome à l'autre.";"";"1";"2026-06-08 17:13:19"
"Quel est le sens de déplacement des électrons dans un conducteur et pourquoi ?";"";"Les électrons se déplacent du pôle négatif vers le pôle positif car ils sont attirés par la charge positive (les charges opposées s'attirent).";"";"1";"2026-06-08 17:13:19"
"Qu'appelle-t-on source de tension ?";"";"Une source de tension est un dispositif qui crée et maintient une différence de potentiel électrique entre deux points d'un circuit.";"";"1";"2026-06-08 17:13:19"
"Que se passe-t-il lorsque l'on ferme un circuit alimenté par une source de tension ?";"";"Lorsqu'on ferme un circuit alimenté par une source de tension, un courant électrique s'établit "car les électrons" peuvent désormais circuler en boucle dans le circuit fermé.";"";"1";"2026-06-08 17:13:19"
"Dessiner un circuit électrique fermé, composé d'une pile, d'une résistance et de conducteurs, et indiquer le sens conventionnel du courant.";"";"Le sens conventionnel du courant va du pôle positif vers le pôle négatif, contrairement au sens réel du déplacement des électrons.";"";"1";"2026-06-08 17:13:19"
"Comment expliquer que le courant se propage à une vitesse proche de celle de la lumière, alors que le déplacement des électrons dans les conducteurs n'est que de quelques millimètres par seconde ?";"";"C'est l'onde électromagnétique (ou l'ordre électrique) qui se propage à grande vitesse, pas les électrons eux-mêmes qui avancent lentement par effet de poussée collective.";"";"1";"2026-06-08 18:13:19"
"Qu'appelle-t-on une différence de potentiel ?";"";"La différence de potentiel, ou tension électrique, est la différence d'état électrique entre deux points d'un circuit qui permet le déplacement des charges.";"";"1";"2026-06-08 17:13:19"
"Quelles sont les conditions pour qu'un courant électrique s'établisse ?";"";"Pour qu'un courant électrique s'établisse, il faut un circuit fermé contenant une source de tension qui crée une différence de potentiel.";"";"1";"2026-06-08 17:13:19"
