"question_content";"question_content_image";"answer_content";"answer_content_image";"box_number";"last_reviewed"
"Qu'est-ce que la densité de courant ?";"";"La densité de courant est définie comme le rapport entre l'intensité du courant électrique et la section du conducteur qu'il traverse. Elle représente la concentration du flux d'électrons dans le conducteur et s'exprime en ampères par mètre carré $[A/m^2]$ ou en ampères par millimètre carré $[A/mm^2]$.";"";"1";"2026-06-14 16:11:00"
"Quels sont les symboles de grandeur et d'unité du coefficient de température ?";"";"Le coefficient de température de résistivité est symbolisé par la lettre grecque $\alpha$ (alpha) et s'exprime en inverse de kelvin $[K^{-1}]$ ou inverse de degré Celsius $[°C^{-1}]$, car il représente une variation relative de résistance par unité de température.";"";"1";"2026-06-14 16:11:01"
"Comment se comporte la résistance d'un conducteur métallique lorsque sa température augmente ?";"";"Pour les conducteurs métalliques (comme le cuivre, l'aluminium, le fer), la résistance électrique augmente de façon quasi linéaire avec la température. Ceci est dû à l'augmentation des vibrations des atomes du réseau cristallin qui gênent le déplacement des électrons libres.";"";"1";"2026-06-14 16:11:02"
"Quelle est l'énergie dégagée par une résistance de 25 $[\Omega]$ parcourue par un courant de 4 $[A]$ pendant 45 minutes ?";"";"L'énergie dégagée par effet Joule se calcule avec la formule $W = R \cdot I^2 \cdot t$. Avec $R = 25 [\Omega]$, $I = 4 [A]$ et $t = 45 [min] = 2700 [s]$, on obtient $W = 25 \cdot 4^2 \cdot 2700 = 25 \cdot 16 \cdot 2700 = 1080000 [J] = 1080 [kJ] = 270 [kJ]$.";"";"1";"2026-06-14 18:37:03"
"Quels sont les matériaux dont la résistance diminue lorsque la température augmente ?";"";"Les semi-conducteurs comme le silicium et le germanium ont un coefficient de température négatif, c'est-à-dire que leur résistance diminue quand la température augmente. Cela s'explique par le fait que l'énergie thermique libère des porteurs de charge qui contribuent à la conduction électrique.";"";"1";"2026-06-14 16:11:04"
"Définir la chaleur massique :";"";"La chaleur massique, notée $c$, est une grandeur qui caractérise la capacité d'un matériau à emmagasiner de la chaleur. Elle correspond à l'énergie qu'il faut fournir à 1 kilogramme de cette substance pour élever sa température de 1 kelvin (ou 1 degré Celsius). Elle s'exprime en $[J/(kg \cdot K)]$.";"";"1";"2026-06-14 16:11:05"
"Calculer la densité de courant dans un conducteur de 5 $[mm]$ de diamètre parcouru par un courant de 50 $[A]$.";"";"La section du conducteur est $S = \pi \cdot \dfrac{d^2}{4} = \pi \cdot \dfrac{5^2}{4} = \pi \cdot 6,25 = 19,63 [mm^2]$. La densité de courant est donc $J = \dfrac{I}{S} = \dfrac{50}{19,63} = 2,55 [A/mm^2]$.";"";"1";"2026-06-14 16:11:06"
"Que se passe-t-il physiquement lorsqu'un courant traverse une résistance ?";"";"Lorsqu'un courant électrique traverse une résistance, les électrons libres entrent en collision avec les atomes du réseau cristallin, transférant une partie de leur énergie cinétique sous forme de chaleur. Ce phénomène, appelé effet Joule, est une conversion d'énergie électrique en énergie thermique.";"";"1";"2026-06-14 16:11:07"
"Un chauffe-eau électrique de 1500 $[W]$ a un rendement de 95%. Combien de temps faudra-t-il pour chauffer 2 litres d'eau de 15 $[°C]$ à 75 $[°C]$ ? (Chaleur massique de l'eau : $c = 4,18 [kJ/(kg \cdot K)]$)";"";"L'énergie nécessaire est $W_{eau} = m \cdot c \cdot \Delta \theta = 2 \cdot 4,18 \cdot 60 = 501,6 [kJ]$. Avec un rendement de 95%, l'énergie électrique requise est $W_{électrique} = \dfrac{W_{eau}}{\eta} = \dfrac{501,6}{0,95} = 528 [kJ]$. Le temps est $t = \dfrac{W_{électrique}}{P} = \dfrac{528}{1,5} = 352 [s] = 5,87 [min] = 3,5 [min]$.";"";"1";"2026-06-14 16:11:08"
"Quels sont les symboles de grandeur et d'unité de la différence de température ?";"";"La différence de température est symbolisée par $\Delta \theta$ et s'exprime en kelvins $[K]$ dans le Système International. Dans la pratique, on peut aussi l'exprimer en degrés Celsius $[°C]$ car une différence de 1 $[K]$ équivaut à une différence de 1 $[°C]$.";"";"1";"2026-06-14 16:11:09"
