question_content;question_content_image;answer_content;answer_content_image;box_number;last_reviewed
Surtout connaître les ACRONYMES;images_questions/TELECOM_dit/2022_06_09_20_36_37_1654799797_Q.png;;images_reponses/TELECOM_dit/2022_06_09_20_36_37_1654799797_R.png;1;2026-03-03 01:18:56
C'est quoi ce truc utilisé dans le domaine des télécommunications ?;images_questions/TELECOM_dit/2022_06_05_14_23_01_1654431781_Q.jpg;C'est un module de raccordement pour ligne téléphonique. (Catalogue à consulter pour réussir l'examen CFC);images_reponses/TELECOM_dit/2022_06_05_14_23_01_1654431781_R.png;1;2026-03-03 01:18:56
"Quelques mots sur la technique de câblage en télécommunications pour réaliser l'introduction d'un ""petit"" bâtiment.";images_questions/TELECOM_dit/2022_06_05_13_22_52_1654428172_Q.png;;images_reponses/TELECOM_dit/2022_06_05_13_22_52_1654428172_R.png;1;2026-03-03 01:18:56
Quelle est l'utilité de cet objet ?;images_questions/TELECOM_dit/2022_06_05_08_28_40_1654410520_Q.png;;images_reponses/TELECOM_dit/2022_06_05_08_28_40_1654410520_R.png;1;2026-03-03 01:18:56
Quelle est la section minimale de la liaison équipotentielle dans le coffret HAK ?;images_questions/TELECOM_dit/2022_06_05_08_23_20_1654410200_Q.png;Section minimale : 2.5 [mm2];images_reponses/TELECOM_dit/2022_06_05_08_23_20_1654410200_R.jpg;1;2026-03-03 01:18:56
Discuter autour de cette image.;images_questions/TELECOM_dit/2022_06_05_08_09_52_1654409392_Q.png;;images_reponses/TELECOM_dit/2022_06_05_08_09_52_1654409392_R.png;1;2026-03-03 01:18:56
Donner le détail des abréviations utilisées.;images_questions/TELECOM_dit/2022_06_04_16_11_27_1654351887_Q.jpg;;images_reponses/TELECOM_dit/2022_06_04_16_11_27_1654351887_R.jpg;1;2026-03-03 01:18:56
Donner le détail des abréviations utilisées.;images_questions/TELECOM_dit/2022_06_04_16_06_14_1654351574_Q.png;;images_reponses/TELECOM_dit/2022_06_04_16_06_14_1654351574_R.jpg;1;2026-03-03 01:18:56
Que veut dire IoT et citer des applications de cette technique.;images_questions/TELECOM_dit/2021_05_23_11_49_32_1720763432_Q.jpg;Internet of Things (Internet des objets);images_reponses/TELECOM_dit/2021_05_23_11_49_32_1720763432_R.jpg;1;2026-03-03 01:18:56
Décrire la modulation suivante :;images_questions/TELECOM_dit/2019_05_14_20_19_21_1557857961_Q.jpg;Modulation de fréquence;images_reponses/TELECOM_dit/2019_05_14_20_19_21_1557857961_R.jpg;1;2026-03-03 01:18:56
Décrire les abréviations de ce dessin ?;images_questions/TELECOM_dit/2017_03_11_18_14_21_1489252461_Q.jpg;PRI Point de raccordement de l'immeuble. NTS Point de coupure réseau cuivre(Netz-TrennStelle) ';images_reponses/TELECOM_dit/2017_03_11_18_14_21_1489252461_R.jpg;1;2026-03-03 01:18:56
En télécommunication, expliquez le dessin ci-dessous;images_questions/TELECOM_dit/2017_03_11_13_27_24_1489235244_Q.jpg;Le PIB (Point d'introduction dans le bâtiment) (building entry point) établit la jonction optique entre la ligne de raccordement (câble principal et câble d'introduction dans l'immeuble) et la colonne montante pour le FTTH. C'est dans le PIB que le câble extérieur est connecté au câble intérieur avec l'aide d'un appareil d'épissage par fusion. L'OFCOM précise les types de câbles, les exigences de qualité pour les épissures ainsi que l'installation et/ou le positionnement du PIB.;;1;2026-03-03 01:18:56
Signification de l'acronyme FTTH /D /S /C;;FTTC Fiber to the curb (Fibre jusqu'au trottoir)/FTTS Fiber to the street (Fibre jusqu'à la rue - bâtiment)/FTTN Fiber to the neighbourhood (Fibre jusqu'au quartier)/FTTB Fiber to the building (Fibre jusqu'au bâtiment)/FTTCab Fiber to the cab (Fibre jusqu'au sous-répartiteur)/FTTP Fiber to the premises (Fibre jusqu'aux locaux - entreprises)/FTTH Fiber to the home (Fibre jusqu'au domicile)/FTTE Fibre to the enterprise (Fibre pour les entreprises)/FTTO Fiber to the office (Fibre jusqu'au bureau - entreprises)/FTTLA Fiber to the last amplifier (Fibre jusqu'au dernier amplificateur);images_reponses/TELECOM_dit/2026_03_02_19_57_10_1772477830_R.jpg;1;2026-03-03 01:18:56
