"question_content";"question_content_image";"answer_content";"answer_content_image";"box_number";"last_reviewed"
"Quel est l'avantage d'avoir une tension du réseau alternative ?";"";"La tension alternative présente plusieurs avantages, notamment la possibilité de la transformer facilement (élever ou abaisser) à l'aide de transformateurs, ce qui permet de transporter l'électricité sur de longues distances avec moins de pertes.";"";"1";"2026-06-14 16:40:00"
"Donner la définition d'un courant alternatif.";"";"Un courant alternatif est un courant électrique qui change périodiquement de sens et d'intensité, contrairement au courant continu qui circule toujours dans le même sens.";"";"1";"2026-06-14 16:40:01"
"De quelle façon le courant alternatif est-il produit ?";"";"Le courant alternatif est généralement produit par des alternateurs qui fonctionnent sur le principe de l'induction électromagnétique : un conducteur se déplaçant dans un champ magnétique (ou un champ magnétique variable par rapport à un conducteur fixe).";"";"1";"2026-06-14 16:40:02"
"Quelles sont les deux façons de représenter un signal alternatif sinusoïdal ?";"";"Un signal alternatif sinusoïdal peut être représenté soit dans le domaine temporel (représentation de l'amplitude en fonction du temps), soit par un vecteur tournant (représentation vectorielle ou phasorielle).";"";"1";"2026-06-14 16:40:03"
"Donner la définition de la période.";"";"La période est le temps nécessaire pour qu'une grandeur périodique (comme un courant alternatif) effectue un cycle complet, c'est-à-dire le temps entre deux passages successifs au même état dans le même sens.";"";"1";"2026-06-14 16:40:04"
"Quels sont les symboles de grandeur et d'unité de la période ?";"";"La période est représentée par le symbole $T$ et s'exprime en secondes $[s]$.";"";"1";"2026-06-14 16:40:05"
"Combien de temps met le courant alternatif pour parcourir 3 périodes ?";"";"Pour parcourir 3 périodes, le courant met un temps égal à 3 fois la période, soit $3 \cdot T$.";"";"1";"2026-06-14 16:40:06"
"Donner la définition de la fréquence.";"";"La fréquence est le nombre d'oscillations ou de cycles par unité de temps, généralement exprimée en hertz (cycles par seconde). Elle est également l'inverse de la période : $f = \dfrac{1}{T}$.";"";"1";"2026-06-14 16:40:07"
"Quels sont les symboles de grandeur et d'unité de la fréquence ?";"";"La fréquence est représentée par le symbole $f$ et s'exprime en hertz $[Hz]$, qui équivaut à des cycles par seconde $[s^{-1}]$.";"";"1";"2026-06-14 16:40:08"
"Quelle est la fréquence d'un courant de période 1000 µs et où pourrait-on trouver cette fréquence ?";"";"La fréquence est l'inverse de la période : $f = \dfrac{1}{T} = \dfrac{1}{1000 \cdot 10^{-6}} = 1 \cdot 10^3 = 1$ $[kHz]$. Cette fréquence se trouve notamment dans les signaux de télécommunication ou certains oscillateurs électroniques.";"";"1";"2026-06-14 16:40:09"
